관광지명,관광지구분,소재지도로명주소,소재지지번주소,위도,경도,면적,공공편익시설정보,숙박시설정보,운동및오락시설정보,휴양및문화시설정보,접객시설정보,지원시설정보,지정일자,수용인원수,주차가능수,관광지소개,관리기관전화번호,관리기관명,데이터기준일자,제공기관코드,제공기관명,
황산공원,관광지,경상남도 양산시 물금읍 물금리 162-1,경상남도 양산시 물금읍 물금리 162-1,35.30204647,128.9909431,1873000,https://hwangsanpark.yangsan.go.kr/,https://hwangsanpark.yangsan.go.kr/,https://hwangsanpark.yangsan.go.kr/,https://hwangsanpark.yangsan.go.kr/,https://hwangsanpark.yangsan.go.kr/,https://hwangsanpark.yangsan.go.kr/,2000-01-01,20000,1000,https://hwangsanpark.yangsan.go.kr/,055-392-2823,양산시,2019-09-11,5380000,경상남도 양산시,
임경대,관광지,경상남도 양산시 원동면 화제리 산72-4,경상남도 양산시 원동면 화제리 산72-4,35.32243455,128.9778074,6755,http://www.yangsan.go.kr/tour/main.do,http://www.yangsan.go.kr/tour/main.do,http://www.yangsan.go.kr/tour/main.do,http://www.yangsan.go.kr/tour/main.do,http://www.yangsan.go.kr/tour/main.do,http://www.yangsan.go.kr/tour/main.do,2000-01-01,300,30,http://www.yangsan.go.kr/tour/main.do,055-392-2563,양산시,2019-09-11,5380000,경상남도 양산시,
양산시립박물관,관광지,경상남도 양산시 북정로 78,경상남도 양산시 북정로 78,35.35849531,129.0490358,13063,http://www.yangsan.go.kr/museum/main.do,http://www.yangsan.go.kr/museum/main.do,http://www.yangsan.go.kr/museum/main.do,http://www.yangsan.go.kr/museum/main.do,http://www.yangsan.go.kr/museum/main.do,http://www.yangsan.go.kr/museum/main.do,2012-12-01,500,82,http://www.yangsan.go.kr/museum/main.do,055-392-3313,양산시,2019-09-11,5380000,경상남도 양산시,
삽교호관광지,관광지,충청남도 당진시 신평면 삽교천3길 100,,36.8889054446,126.8247541253,240154,"공중화장실, 테마과학관, 근린공원",,,,,,1983-10-10,500000,300,"서해대교를 비롯, 호수와 바다가 한눈에 들어오는 곳",041-350-3601,충청남도 당진시청,2019-01-01,5680000,충청남도 당진시,
왜목마을관광지,관광지,충청남도 당진시 석문면 왜목길 15-5,,37.0449327562,126.5246154013,155440,"공중화장실, 공연장, 전망대",,,,,,2002-02-26,300000,150,"서해 최고의 일출, 일몰 감상지",041-350-3601,충청남도 당진시청,2019-01-01,5680000,충청남도 당진시,
난지섬관광지,관광지,충청남도 당진시 석문면 난지1길 67,,37.047036,126.4242087003,133876,"공중화장실, 공연장, 전망대",,,,,,2007-02-28,100000,150,바다가 맑고 한적한 섬 해수욕장,041-350-3601,충청남도 당진시청,2019-01-01,5680000,충청남도 당진시,
대성관광지,관광지,경기도 가평군 청평면 대성강변길 14,경기도 가평군 청평면 대성리 395-3,37.6814319071,127.3795209017,262722,공중화장실(2동)+운영(1동),4동 운영+4동 계획,유원시설 등 계획,선착장 3개 운영+야영장 등 계획,매점+식당 등 4개소 운영+상가 5개소 계획,없음,1968-10-04,1000,25,"경춘가도의 대성리역을 중심으로 북한강변 8만여 평에 이루어져 있으며, 산책로, 피크닉장, 자전거도로가 조성되어 있으며, 여러 편의시설도 들어서 있다. 북한강은 수영이  금지되어 있으며, 보트 등 수상스포츠는 즐길 수 있다.",031-580-4632,가평군청 관광과,2019-09-06,4160000,경기도 가평군,
산장관광지,관광지,경기도 가평군 상면 덕현산장길 71,경기도 가평군 상면 덕현리 산74-12,37.7540339,127.4121045,118040,도로+주차장+관리사무소+홍수위관리소,가족호텔 1개소+펜션하우스 3개소 운영+콘도미니엄 2개소 계획,다목적운동장 계획중,야영장 및 야영공연장 등 운영,음식점 및 상가 2동 운영+3동 계획,없음,1977-03-31,2700,156,"1977년에 국민관광지로 지정, 자연경관을 최대한 살린 계곡형 관광지로 개발되었으며, 북한강 지류인 조종천의 맑은 물이 한데 어우러져 경치가 아름답다. 주요 시설로는 야영장과 다양한 숙박시설, 계곡자연풀장이 있다.",031-580-4632,가평군청 관광과,2019-09-06,4160000,경기도 가평군,
능강관광지,관광지,충청북도 제천시 수산면 옥순봉로 1248,충청북도 제천시 수산면 능강리 200-10,36.99110555,128.1965693,136818,주차장+관광정보안내소+관리사무소+오수처리장+정배수장+순환도로+전용상수도,휴양콘도미니엄,"골프연습장, 미니골프장, 노래방, 단구장","산상전망대1,2, 찜질방, 자연학습장, 과수단지, 문화관, 전통도예방, 야외공연장, 산정휴게소, 명산센터",-,녹지,1997-06-27,20730,300,청풍호 경관자원과 연계 한국 최고의 스위스형 테마 및 산악 휴양형 핵심 체류 거점 리조트,043-641-6712,충청북도 제천시,2019-09-23,4400000,충청북도 제천시,
금월봉관광지,관광지,충청북도 제천시 금성면 청풍호로 1316,,37.04384263,128.1736527,92514,관리사무소+주차장+공중화장실+오수처리장+정수장(배수지)+도로+이벤트광장+변전소,"빌라형, 테라스형1, 테라스형2, 별장형, 타워형",-,조경휴게소,-,"상가, 보전녹지, 기타녹지",1998-05-29,14017,300,"청풍호의 수려한 자연경관과 기암괴석(금월봉)을 배경으로 유휴지를 최대한 활용한 체류형 관공시설(호텔, 콘도 등) 조성",043-641-6712,충청북도 제천시,2019-09-23,4400000,충청북도 제천시,
계산관광지,관광지,,충청북도 제천시 청풍면 계산리 산9-4,37.0162414378,128.1338822298,135806,주차장+도로+배수지오수처리장,펜션,"운동장, 눈썰매장","조경휴게소, 바비큐장, 전망대",-,"완충녹지, 원형보존녹지",1998-07-24,20576,0,수상레저 및 수상마리나 등 수상연계관광 인프라 조성 및 비봉산모노레일 등과 연계 관광 인프라조성 목적 관광지,043-641-6712,충청북도 제천시,2019-09-23,4400000,충청북도 제천시,
만남의광장,관광지,충청북도 제천시 청풍면 청풍호로50길 6,충청북도 제천시 청풍면 교리 147,37.0108335579,128.1811894602,147440,도로+광장+공용주차장+매표소(매점)+화장실,-,"번지점프장, 인공암벽장, 종합관리동","만남의광장, 휴게쉼터, 야생화원",-,-,2003-02-13,22339,264,청풍호반 주변 관광시설과 연계한 핵심 관광거점으로 각종 관광시설이 집중된 제천관광의 중심지,043-641-6712,충청북도 제천시,2019-09-23,4400000,충청북도 제천시,
KBS촬영장,관광지,충청북도 제천시 금성면 청풍호로 1480,충청북도 제천시 금성면 성내리 산 12-2,37.0337022053,128.1745935297,111060,도로+광장+주차장+관리동+화장실,-,,"촬영장, 휴게쉼터",,"전문음식점, 기념품(토산품점), 녹지",2004-08-27,16827,0,청풍호반의 뛰어난 장소적 특성을 활용한 문화영상 테마지구로 한류와 연계 국내외 영상테마 관광지,043-641-6712,충청북도 제천시,2019-09-23,4400000,충청북도 제천시,
제천온천관광지,관광지,,충청북도 제천시 수산면 내리 산 24,36.9217991887,128.1819522856,296700,관리사무소+도로+주차장+오수처리장+배수지,휴양콘도미니엄,-,"한방온천장(워터파크포함), 조경휴게지",-,"상가, 완충녹지, 원형보존녹지",2002-01-16,44954,0,"청풍호반, 월악산등과 연계한 핵심 처류거점으로 한방도시 컨셉과 연계한 한방온천장으로 조성계획 관광지",043-641-6712,충청북도 제천시,2019-09-23,4400000,충청북도 제천시,
교리관광지,관광지,충청북도 제천시 청풍면 청풍호로 1798,,37.0168231647,128.1776056578,316900,오수정화조+정배수장+소각장+공중화장실+주차장+도로,"청풍레이크호텔, 청풍힐호텔, 민박촌","다목적운동장, 구기장, 놀이동산, 미니골프장","조경휴게소, 녹지공원, 다목적광장, 격납고",-,"관리원 숙소, 하천, 유보지, 녹지",1989-12-28,48015,200,청풍호반 주변 관광시설과 연계한 핵심 체류 거점으로 청풍권 최고의 리조트 관광지,043-641-6712,충청북도 제천시,2019-09-23,4400000,충청북도 제천시,
장계관광지,관광지,충청북도 옥천군 안내면 장계1길 57-1,충청북도 옥천군 안내면 장계리 산 7-1,36.3772887664,127.635620333,198705,향토전시관(관리실)+화장실(3동)+주차장,없음,,공연장,,,1986-06-07,1000,250,"아름다운 대청호반이 한눈에 내려다보이며, 향토자료 및 시문학 작품을 감상할 수 있음.",043-730-3413,충청북도 옥천군청,2019-04-08,4430000,충청북도 옥천군,
최참판댁,관광지,경상남도 하동군 악양면 평사리길 66-7,경상남도 하동군 악양면 평사리 483,35.1556978,127.688408,9529,화장실(4동)+주차장,,,,,,2001-01-04,5000,230,소설 토지의 최참판댁을 복원하여 전통 건축물 등을 관람 할 수 있음,055-880-2383,경상남도 하동군청,2019-06-16,5440000,경상남도 하동군,
화개장터,관광지,경상남도 하동군 화개면 쌍계로 15,경상남도 하동군 화개면 탑리 726-46,35.1877406,127.624366,8226,화장실(2동)+주차장,,,,,,2001-09-25,3000,300,영호남 교통의 길목이며 물류이동의 중심지로서 화개장터가 조성됨,055-880-2383,경상남도 하동군청,2019-06-16,5440000,경상남도 하동군,
삼성궁,관광지,경상남도 하동군 청암면 삼성궁길 2,경상남도 하동군 청암면 묵계리 1738-3,35.2386033,127.705394,43967,화장실(2동)+주차장,,,,,,2001-12-03,3000,100,"환인, 환웅, 단군을 모신 궁이며 돌탑 등을 관람 할 수 있음",055-880-2383,경상남도 하동군청,2019-06-16,5440000,경상남도 하동군,
이병주문학관,관광지,경상남도 하동군 북천면 이명골길 14-28,경상남도 하동군 북천면 직전리 231,35.0969825,127.8942256,13535,화장실(2동)+주차장,,,,,,2008-04-24,500,40,문학인 이병주선생의 작품 및 작품활동을 엿볼수 있음,055-880-2383,경상남도 하동군청,2019-06-16,5440000,경상남도 하동군,
지리산역사관,관광지,경상남도 하동군 화개면 화개로 1438,경상남도 하동군 화개면 대성리 1389,35.2896912,127.646527,4311,화장실(1동)+주차장,,,,,,2002-06-03,100,15,지리산을 안고 살아온 우리조상들의 생활상 이해공간 제공,055-880-2383,경상남도 하동군청,2019-06-16,5440000,경상남도 하동군,
세계무술공원,관광지,충청북도 충주시 남한강로 24,충청북도 충주시 금릉동 586-7,36.9878291943,127.9055690916,616968,"종합안내소, 주차장, 도로, 야외화장실",,"돌미로원, 라바랜드,어린이놀이시설","세계무술박물관, 야외공연장",카페테리아,,1989-08-22,1436,718,무술의 메카 충주를 대내외에 알리고 충주호 권역의 관광거점 기능을 담당하는 테마관광지 조성,043-850-6750,충주시청 관광과 무술공원관리팀,2019-04-01,4390000,충청북도 충주시,
충주호체험,관광지,충청북도 충주시 중앙탑길 150,충청북도 충주시 중앙탑면 탑평리 545-1,37.0275578887,127.8593840452,223134,"주차장, 도로, 화장실",,"그랜드스탠드, 마리나센터","야영장, 풍류문화관",,,2004-08-13,1100,285,역사 문화와 수변공간이 어우러지는 체험관광지 조성 / 수변의 위락시설과 생태환경의 조화로 체험가능한 수변 휴식 학습공간 조성 /수상레저활성화를 위한 국제수변레포츠단지 조성,043-850-6741,충주시청 관광과 관광개발팀,2019-04-01,4390000,충청북도 충주시,
능암온천,관광지,충청북도 충주시 새바지길 37,충청북도 충주시 앙성면 능암리 14-1,37.0767891455,127.8313943135,199210,도로,,,,,,1989-12-14,280,100,중원 유적과 충주호반 관광 등 주변 관광자원과 중부권 유일의 탄산온천 자원을 연계한 종합 온천휴양 관광지 조성,043-850-6742,충주시청 관광과 관광개발팀,2019-04-01,4390000,충청북도 충주시,
충온온천,관광지,충청북도 충주시 산전장수1길 103,충청북도 충주시 앙성면 돈산리 13-1,37.0937642655,127.7949439575,224825,도로,콘도미니엄,,,,,1989-12-14,720,165,중원 유적과 충주호반 관광 등 주변 관광자원과 중부권 유일의 탄산온천 자원을 연계한 종합 온천휴양 관광지 조성,043-850-6742,충주시청 관광과 관광개발팀,2019-04-01,4390000,충청북도 충주시,
온달관광지,관광지,충청북도 단양군 영춘면 온달로 23,충청북도 단양군 영춘면 하리 147,37.0629556369,128.4929220757,97567,화장실+주차장,,드라마세트장+온달동굴,온달전시관,,,1994-09-06,2000,265,온달관광지,043-423-8820,단양관광관리공단,2019-09-10,4480000,충청북도 단양군,
천동관광지,관광지,충청북도 단양군 단양읍 다리안로 520,충청북도 단양군 단양읍 천동리 201,36.9740114128,128.4165952412,26594,화장실+주차장,야영장,물놀이장+천동동굴,,,,1984-11-28,2000,80,천동관광지,043-423-3589,단양관광관리공단,2019-09-10,4480000,충청북도 단양군,
다리안관광지,관광지,충청북도 단양군 단양읍 소백산등산길 12,충청북도 단양군 단양읍 천동리 409,36.9647819033,128.4207807848,153835,화장실+주차장,돔하우스+통나무집+캠핑장,원두막+야영장+돔하우스+캠핑장,,,,1984-11-28,2000,155,다리안관광지,043-423-1243,단양관광관리공단,2019-09-10,4480000,충청북도 단양군,
금강하구둑관광지,관광지,충청남도 서천군 마서면 장산로 855번길 56-2,충청남도 서천군 마서면 도삼리 71-5,36.0199359900,126.736726,175384,종합안내소+주차장+화장실,,,,,,1993-09-22,5000,486,"금강을 경계로 군산과 인접하고 있으며, 철새도래지로 유려한 철새군무를 볼수 있고 먹거리가 풍부함",041-950-4018,충청남도 서천군청,2019-09-30,4580000,충청남도 서천군,
춘장대,관광지,충청남도 서천군 서면 춘장대길 20,충청남도 서천군 서면 도둔리 1319,36.1633492182,126.5243354543,298930,종합안내소+주차장+화장실+취사장,,,,,,1977-04-21,100000,300,국내 유일의 해송림 해수욕장으로 캠핑장과 조개잡이 체험등 다양한 즐길거리와 인근 동백정 마량항등 볼거리도 풍부,041-950-4018,충청남도 서천군청,2019-09-30,4580000,충청남도 서천군,
사계고택,관광지,충청남도 계룡시 두마면 사계로 122-4,충청남도 계룡시 두마면 두계리 96,36.265691,127.271724,9236,관리사무소+화장실(1동)+주차장,,,,,,2013-11-11,150,10,조선중기 유학의 대가 사계김장생 선생의고택,042-840-2402,충청남도 계룡시,2019-06-24,5580000,충청남도 계룡시,
모원재,관광지,충청남도 계룡시 두마면 왕대2길6-10,충청남도 계룡시 두마면 왕대리 281-1,36.254886,127.2732752845,16366,화장실(1동)+주차장,,,,,,1989-04-20,300,35,사계 김장생 선생의 5대 선친인 김국광의 재실,042-840-2402,충청남도 계룡시,2019-06-24,5580000,충청남도 계룡시,
염선재,관광지,충청남도 계룡시 사계로 5-16(금암동),충청남도 계룡시 금암동 45,36.2693923,127.261851,86,주차장,,,,,,1990-09-27,10,2,사계 김장생 선생의 계배 순천김씨의 재실,042-840-2402,충청남도 계룡시,2019-06-24,5580000,충청남도 계룡시,
이심원충신정려현판,관광지,충청남도 계룡시 금암1 길 7(금암동),충청남도 계룡시 금암동 281-4,36.280034,127.2470773156,34,주차장,,,,,,1995-03-06,5,2,효령대군의 증손인 이심원선생의 충직함을 기리기 위한 현판,042-840-2402,충청남도 계룡시,2019-06-24,5580000,충청남도 계룡시,
신원재,관광지,충청남도 계룡시 두마면 왕대2길43,충청남도 계룡시 두마면 왕대리 299,36.255245,127.270342,1263,주차장,,,,,,2002-01-10,30,5,사계 김장생 선생의 9번째 아들인 김비 선생의 재실,042-840-2402,충청남도 계룡시,2019-06-24,5580000,충청남도 계룡시,
서포리관광지,관광단지,인천광역시 옹진군 덕적면 덕적남로606번길 3,인천광역시 옹진군 덕적면 서포리 229-23,37.2232919040,126.1169337115,228769,"관리사무소,오수처리장, 샤워장,도로,주차장, 화장실",여관,운동시설,야영장,,,1977-03-31,100,20,"100년이 넘는 노송이 울창한 숲을 이루고 있고 완만한 경사와 넓이 300m 길이 3km의 넓은 백사장은 매년 10만 명이 넘는 관광객들의 휴식처가 되고 있는 곳이다. 200여 년은 족히 됐다는 소나무 8백여 본이 심어져 있는 소나무 숲은 단체야영에 제격이다. 거기에 넓은 운동장, 바닷가 놀이터, 테니스장, 음식점, 노래방, 자전거 대여소도 있으니 웬만한 레저시설은 다 준비되어 있는 셈이다. 주변의 갯바위에서는 우럭과 놀래미가 잘 잡혀 바다 낚시를 즐기는 관광객들의 발길이 끊이지 않고 있다.",032-899-2212,인천광역시 옹진군청,2019-06-20,3580000,인천광역시 옹진군,
은파관광지,관광지,전라북도 군산시 은파순환길9 (나운동),전라북도 군산시 나운동 1223-5,35.9552755,126.6891856,1764095,관리사무소+화장실+주차장+잔디관장,관광호텔,다목적운동장+체력단련장,숲체험장+휴게쉼터+전망휴게쉼터+생태습지+억새원+편백나무쉼터+숲속산책쉼터,야외공연장,없음,1985-08-26,40000,982,봄철이 되면 화사한 벚꽃길로 유명하여 시민들의 사랑을 받고 있다.,063-454-3362,전라북도 군산시청,2019-09-06,4670000,전라북도 군산시,
금강호관광지,관광지,,전라북도 군산시 성산면 성덕리 421-4,35.995853,126.793703,648380,주차장+광장+화장실+관리사무소,관광호텔,유희시설+테니스장,어린이공원+체험학습장+철새조망대,야외무대,없음,1992-07-10,9969,1055,국내 최대 철새도래지로서 자연과 문화가 어우러지는 사계절 관광지로 거듭나고 있음,063-454-3344,전라북도 군산시청,2019-09-06,4670000,전라북도 군산시,
송정관광지,관광지,경상남도 남해군 미조면 미송로 483,경상남도 남해군 미조면 송정리 1129,34.7231451,128.025001,605283,샤워탈의장/화장실(2동)+관리사무실(2동)+오수처리장+주차장,,,,,,1994-10-21,10000,387,"해수욕장이 넓게 분포되어 있으며, 해수욕장을 조금만 벗어나면 몽돌과 기암괴석이 뒤섞인 단애의 해안을 구경할 수 있다.",055-860-8615,경상남도 남해군,2019-06-24,5430000,경상남도 남해군,
주왕산 관광지,관광지,경상북도 청송군 부동면 주왕산로 494,경상북도 청송군 부동면 하의리 842,36.3781321416,129.108597995,249642.6,주차장+진입광장+도로+배수지+오수처리장,콘도미니엄+펜션,,허브가든+도예촌+전망휴게소+유교문화체험관+민예촌+박물관,테마형 스트리트 몰,,2007-10-22,3000,708,"체험, 체류형 종합휴양관광지",054-870-6239,청송군청,2019-09-09,5160000,경상북도 청송군,
표충비,관광지,경상남도 밀양시 무안면 동부동안길4,,35.471582,128.651036,7122,화장실,모텔,,,,,1972-02-12,100,50,표충비는 국가의 중대사가 있을때를 전후하여 비면에 자연적으러 땀방울이 맺혀서 마치 구슬처럼 흐르는데 이것을 두고 사람들은 나라와 겨례를 염려하는 사명대사의 영험이라고 신성시 하고 있음,055-359-5639,경상남도 밀양시청,2019-04-03,5360000,경상남도 밀양시,
작원관지,관광지,경상남도 밀양시 삼랑진읍 검세리산101,,35.398160,128.867415,16000,화장실,모텔,,,,,1990-01-01,100,50,김해와 낙동강 유역에 창궐하던 왜적들의 침공을 방비하던 요새지,055-359-5639,경상남도 밀양시청,2019-04-03,5360000,경상남도 밀양시,
예림서원,관광지,경상남도 밀양시 부북면 예림서원로128,,35.466181,128.7299691,41367,화장실,모텔+관광호텔,,,,,1988-01-01,100,50,예림서원은 영남유림의 종장인 점필재 김종직을 사숙하던 후학들의 교육기관,055-359-5639,경상남도 밀양시청,2019-04-03,5360000,경상남도 밀양시,
밀양향교,관광지,경상남도 밀양시 밀양향교3길,,35.506326,128.754685,5068,화장실,모텔+관광호텔,,,,,1983-08-12,150,50,밀양향교는 고려시대(1100년경)때 창립되어 임진왜란때 불타 버린것을 1602년 부사 최기가 중건하여 지금까지 현존하고 있는 건물임,055-359-5639,경상남도 밀양시청,2019-04-03,5360000,경상남도 밀양시,
밀양관아,관광지,경상남도 밀양시 중앙로348,,35.494564,128.754331,7110,화장실,모텔+관광호텔,,,,,2010-04-01,200,50,"조선시대 밀양부 관아의 창건연대는 정확히 알 수 없으며, 1612년에 원유남 부사가 부임하면서 원래 자리에 관아를 복원 하였음",055-359-5639,경상남도 밀양시청,2019-04-03,5360000,경상남도 밀양시,
밀양영남루,관광지,경상남도 밀양시 중앙로324,,35.491991,128.755247,12931,화장실,모텔+관광호텔,,,,,1963-01-21,200,50,우리나라 3대 누각중에 하나이며 보물제147호임,055-359-5639,경상남도 밀양시청,2019-04-03,5360000,경상남도 밀양시,
만어사,관광지,경상남도 밀양시 삼랑진읍 만어로776,,35.454932,128.846222,115149,화장실,펜션+모텔,,,,,1968-12-19,200,50,해발674m의 만어산 8부 능선에 위치하고 있는 만어사는 가라국 수로왕이 창건한 유서 깊은 사찰,055-359-5639,경상남도 밀양시청,2019-04-03,5360000,경상남도 밀양시,
표충사,관광지,경상남도 밀양시 단장면 표충로1338,,35.532294,128.959045,29751,화장실,산장+펜션+모텔,,,,,1974-12-28,1000,200,표충사는 유생들을 교육하고 성현들이 제사하는 표충서원이 사찰영역안에있어 불교와유교가 한자리에 공존하는 특색있는 사찰,055-359-5639,경상남도 밀양시청,2019-04-03,5360000,경상남도 밀양시,
불갑사관광지,관광지,전라남도 영광군 불갑면 불갑사로 450,전라남도 영광군 불갑면 모악리 408-2,35.201441,126.548957,137517,관광안내소(350-4889),영광힐링컨벤션타운,,,,,1992-02-09,10000,3400,유서깊은 불교문화의 역사와 수려한 자연경관를 간직한 불갑사 지구의 관광명소이며 관광수요에 능동적으로 대처할 수 있는 휴식공간 제공,061-350-5758,전라남도 영광군청,2019-06-21,4970000,전라남도 영광군,
인천가스과학관,관광지,인천광역시 연수구 인천신항대로960,인천광역시 연수구 송도동 364,37.3494035,126.6095857,6096,주차장 + 화장실 + 상하수도시설 + 전기시설 + 통신시설,,,,,,1998-11-03,300,100,"옥외조형물 5종, 실내전시물 23개코너, 크린타워",032-822-4492,한국가스공사,2019-06-20,3520000,인천광역시 연수구,
인천상륙작전기념관,관광지,인천광역시 연수구 청량로160번길 26,인천광역시 연수구 옥련동 525,37.4206455,126.6530630,1788,주차장 + 화장실 + 상하수도시설 + 전기시설 + 통신시설,,,,,,1984-09-15,200,50,"전시관, 야외전시장, 야외공연장, 영상실, 휴게실, 전망대, 소공원 등",032-832-0915,인천광역시,2019-06-20,3520000,인천광역시 연수구,
컴팩스마트시티,관광지,인천광역시 연수구 인천타워대로 238,인천광역시 연수구 송도동24-7,37.3928122743,126.6358878814,8409,주차장 + 화장실 + 상하수도시설 + 전기시설 + 통신시설,,,,,,2009-08-07,300,70,"고대 및 근대 전시관, 인천 모형관, IFEZ모형관",032-850-6000,인천광역시,2019-06-20,3520000,인천광역시 연수구,
가천박물관,관광지,인천광역시 연수구 청량로102번길 40-9,인천광역시 연수구 옥련동 567-22,37.4183415,126.6577304,396,주차장 + 화장실 + 상하수도시설 + 전기시설 + 통신시설,,,,,,1995-10-31,100,21,"인천지역 유일한 국보를 포함한 총소장품 18,382점",032-833-4747,가천문화재단,2019-06-20,3520000,인천광역시 연수구,
